Pokemon Number, Total Stats
460a,594
426,498
200,435
383a,770
187,250
493,720
386c,600
94,500
382,670
450,525
537,509
448a,625
365,530
3a,625
71,490
539,465
167,250
3,525
320,400
282,518
294,360
711,494
78,500
359a,565
120,340
492,600
560,488
544,360
285,295
507,370
651,405
522,295
302,380
140,355
461,510
99,475
265,195
660,423
439,310
20,413
11,205
570,330
305,430
323a,560
164,442
362,480
397,340
447,285
62,510
376,600
198,405
112,485
107,455
58,350
4,309
479b,520
474,535
480,580
556,461
41,245
238,305
564,355
6b,634
380a,700
356,455
696,362
479d,520
59,555
686,288
614,485
435,479
262,420
491,600
500,528
361,300
644,680
54,320
681a,520
475a,618
324,470
501,308
400,410
552,351
34,505
21,262
49,450
706,600
664,200
431,310
364,410
105,425
375,420
495,308
353,295
260,535
596,472
438,290
640,580
69,300
391,405
106,455
590,294
322,305
630,510
121,520
139,495
484,680
705,452
384a,780
334,490
145,580
555a,540
413a,424
19,253
558,475
700,525
340,468
76,495
64,400
587,428
589,495
335,458
591,464
601,520
233,515
393,314
704,300
437,500
175,245
432,452
555,480
282a,618
177,320
235,250
713,514
719,600
303a,480
577,290
298,190
714,245
565,495
654,409
118,320
83,352
18a,579
469,515
625,490
152,318
159,405
9,530
557,325
56,305
650,313
566,401
720,600
388,405
543,260
384,680
223,300
281,278
239,360
467,540
661,278
688,306
618,471
368,485
647,580
156,405
170,330
102,325
611,410
254,530
349,200
92,310
620,510
476,525
321,500
496,413
131,535
192,425
13,195
485,600
115a,590
719a,700
96,328
465,535
162,415
670,371
561,490
690,320
406,280
181,510
241,490
94a,600
74,300
111,345
363,290
70,390
50,265
188,340
276,270
269,385
657,405
359,465
137,395
682,341
38,505
81,325
427,350
451,330
116,295
341,308
645a,600
301,380
190,360
211,430
551,292
475,518
255,310
24,438
122,460
509,281
574,290
360,260
514,498
311,405
694,289
119,450
310,475
354,455
526,515
266,205
502,413
251,600
689,500
299,375
683,462
378,580
445a,700
554,315
344,500
330,520
643,680
701,500
267,395
464,535
487,680
146,580
84,310
503,528
79,315
379,580
721,600
33,365
260a,635
15a,495
169,535
382,770
337,440
504,255
57,455
652,530
148,420
671,552
459,334
497,528
571,510
381a,700
585,335
210,450
547,480
196,525
80a,590
338,440
549,480
101,480
272,480
582,305
579,490
662,382
232,500
637,550
206,415
533,405
104,320
332,475
594,470
317,467
520,358
641a,580
66,305
9a,630
80,490
486,670
346,495
258,310
405,523
720a,680
466,540
366,345
42,455
51,405
115,490
144,580
535,294
568,329
479,440
205,465
583,395
698,362
603,405
604,515
130a,640
10,195
47,405
638,580
608,370
394,405
257,530
646b,700
292,236
65a,590
97,483
633,300
708,309
350,540
130,540
86,325
373,600
98,325
470,525
383,670
165,265
445,600
213,505
214a,600
677,355
672,350
550,460
381,600
632,484
434,329
180,365
