Pokemon Number, Total Stats
46,285
133,325
38,505
10,195
3,525
3a,625
47,405
63,310
88,325
150,680
89,500
18,479
49,450
137,395
139,495
123,500
32,273
117,440
60,300
84,310
24,438
97,483
142a,615
43,320
12,395
98,325
67,405
83,352
128,490
101,480
39,270
146,580
86,325
9a,630
2,405
105,425
102,325
1,318
50,265
80a,590
58,350
107,455
41,245
151,600
72,335
92,310
37,299
136,525
23,288
14,205
25,320
96,328
65a,590
106,455
73,515
17,349
121,520
28,450
80,490
78,500
134,525
100,330
64,400
59,555
8,405
138,355
18a,579
122,460
125,490
42,455
90,305
15a,495
74,300
127a,600
56,305
148,420
79,315
70,390
150a,780
5,405
94a,600
110,490
62,510
142,515
131,535
68,505
113,450
31,505
114,435
126,495
127,500
27,300
85,460
13,195
20,413
111,345
129,200
109,340
9,530
103,520
118,320
91,525
81,325
82,465
35,323
6a,634
135,525
76,495
147,300
115,490
51,405
45,490
94,500
22,442
34,505
57,455
7,314
93,405
69,300
44,395
120,340
65,500
21,262
99,475
87,475
71,490
55,500
130a,640
29,275
75,390
130,540
6,534
143,540
140,355
119,450
145,580
6b,634
95,385
53,440
132,288
40,435
112,485
33,365
77,410
15,395
150b,780
144,580
149,600
104,320
19,253
66,305
108,385
115a,590
61,385
48,305
11,205
26,485
52,290
124,455
4,309
16,251
36,483
116,295
54,320
141,495
30,365
