Pokemon Number, Total Stats
150b,780
150a,780
150,680
130a,640
6b,634
6a,634
9a,630
3a,625
142a,615
151,600
149,600
127a,600
94a,600
115a,590
80a,590
65a,590
146,580
145,580
144,580
18a,579
59,555
143,540
130,540
131,535
6,534
9,530
136,525
135,525
134,525
91,525
3,525
121,520
103,520
142,515
73,515
62,510
68,505
38,505
34,505
31,505
127,500
123,500
94,500
89,500
78,500
65,500
55,500
141,495
139,495
126,495
76,495
15a,495
128,490
125,490
115,490
110,490
80,490
71,490
45,490
112,485
26,485
97,483
36,483
101,480
18,479
99,475
87,475
82,465
122,460
85,460
124,455
107,455
106,455
57,455
42,455
119,450
113,450
49,450
28,450
22,442
117,440
53,440
24,438
114,435
40,435
105,425
148,420
20,413
77,410
93,405
67,405
51,405
47,405
8,405
5,405
2,405
64,400
137,395
44,395
15,395
12,395
75,390
70,390
108,385
95,385
61,385
33,365
30,365
140,355
138,355
83,352
58,350
17,349
111,345
120,340
109,340
72,335
100,330
96,328
133,325
102,325
98,325
88,325
86,325
81,325
35,323
118,320
104,320
54,320
43,320
25,320
1,318
79,315
7,314
92,310
84,310
63,310
4,309
90,305
66,305
56,305
48,305
147,300
74,300
69,300
60,300
27,300
37,299
116,295
52,290
132,288
23,288
46,285
29,275
32,273
39,270
50,265
21,262
19,253
16,251
41,245
14,205
11,205
129,200
13,195
10,195
