Pokemon Number, Total Stats
191,180
298,190
401,194
10,195
13,195
265,195
280,198
129,200
349,200
664,200
11,205
14,205
172,205
266,205
268,205
174,210
194,210
236,210
665,213
161,215
173,218
261,220
270,220
273,220
440,220
412,224
292,236
296,237
659,237
263,240
293,240
415,244
41,245
175,245
396,245
714,245
167,250
183,250
187,250
218,250
220,250
235,250
399,250
16,251
19,253
504,255
300,260
360,260
543,260
21,262
163,262
403,263
519,264
50,265
165,265
290,266
283,269
39,270
276,270
278,270
32,273
29,275
420,275
506,275
602,275
607,275
281,278
661,278
179,280
287,280
307,280
406,280
524,280
546,280
548,280
509,281
46,285
433,285
447,285
23,288
132,288
339,288
686,288
694,289
52,290
204,290
328,290
363,290
438,290
574,290
577,290
517,292
551,292
535,294
590,294
116,295
285,295
309,295
353,295
355,295
522,295
37,299
27,300
60,300
69,300
74,300
147,300
209,300
223,300
246,300
343,300
361,300
371,300
374,300
436,300
443,300
453,300
572,300
599,300
633,300
704,300
316,302
562,303
622,303
669,303
712,304
48,305
56,305
66,305
90,305
238,305
318,305
322,305
532,305
580,305
582,305
597,305
613,305
616,305
688,306
653,307
341,308
495,308
498,308
501,308
4,309
155,309
390,309
708,309
63,310
84,310
92,310
252,310
255,310
258,310
333,310
431,310
439,310
540,310
527,313
650,313
7,314
158,314
393,314
656,314
79,315
554,315
588,315
511,316
513,316
515,316
1,318
152,318
387,318
595,319
25,320
43,320
54,320
104,320
118,320
177,320
610,320
690,320
35,323
81,325
86,325
88,325
98,325
102,325
133,325
422,325
557,325
679,325
96,328
529,328
434,329
568,329
100,330
170,330
216,330
225,330
228,330
231,330
304,330
325,330
370,330
418,330
449,330
451,330
456,330
570,330
692,330
459,334
72,335
331,335
585,335
592,335
605,335
710,335
710a,335
710b,335
710c,335
201,336
109,340
120,340
188,340
271,340
274,340
329,340
397,340
624,340
682,341
684,341
111,345
366,345
458,345
425,348
559,348
674,348
17,349
58,350
408,350
410,350
427,350
619,350
627,350
672,350
552,351
83,352
138,355
140,355
345,355
347,355
564,355
677,355
520,358
190,360
239,360
294,360
327,360
544,360
636,360
696,362
698,362
404,363
30,365
33,365
180,365
240,365
667,369
507,370
578,370
608,370
629,370
670,371
299,375
222,380
301,380
302,380
303,380
541,380
662,382
402,384
536,384
61,385
95,385
108,385
269,385
70,390
75,390
166,390
168,390
193,390
446,390
525,390
575,390
12,395
15,395
44,395
137,395
267,395
583,395
64,400
313,400
314,400
315,400
320,400
566,401
2,405
5,405
8,405
47,405
51,405
67,405
93,405
153,405
156,405
159,405
176,405
198,405
202,405
253,405
256,405
259,405
311,405
312,405
388,405
391,405
394,405
417,405
533,405
603,405
651,405
657,405
654,409
77,410
185,410
219,410
247,410
308,410
364,410
400,410
444,410
611,410
441,411
666,411
20,413
496,413
502,413
284,414
162,415
206,415
499,418
148,420
184,420
262,420
264,420
351,420
372,420
375,420
505,420
634,420
660,423
413,424
413a,424
413b,424
414,424
105,425
192,425
358,425
528,425
587,428
195,430
207,430
211,430
215,430
277,430
279,430
305,430
702,431
40,435
114,435
200,435
24,438
53,440
117,440
288,440
337,440
338,440
352,440
479,440
600,440
22,442
164,442
531,445
510,446
680,448
28,450
49,450
113,450
119,450
210,450
221,450
421,450
432,452
705,452
455,454
42,455
57,455
106,455
107,455
124,455
203,455
237,455
354,455
356,455
291,456
335,458
336,458
85,460
122,460
171,460
189,460
286,460
319,460
323,460
357,460
457,460
550,460
556,461
683,462
591,464
82,465
205,465
226,465
227,465
234,465
359,465
538,465
539,465
678,466
678a,466
317,467
340,468
342,468
178,470
324,470
326,470
573,470
594,470
707,470
618,471
596,472
676,472
581,473
297,474
416,474
569,474
709,474
87,475
99,475
310,475
332,475
423,475
558,475
586,475
18,479
435,479
101,480
224,480
272,480
275,480
302a,480
303a,480
362,480
428,480
478,480
489,480
547,480
549,480
555,480
593,480
685,480
695,481
424,482
687,482
36,483
97,483
563,483
623,483
631,484
632,484
26,485
112,485
367,485
368,485
369,485
398,485
442,485
545,485
606,485
614,485
615,485
621,485
518,487
521,488
560,488
598,489
45,490
71,490
80,490
110,490
115,490
125,490
128,490
182,490
199,490
241,490
295,490
334,490
454,490
561,490
576,490
579,490
625,490
626,490
460,494
691,494
711,494
711a,494
711b,494
711c,494
15a,495
76,495
126,495
139,495
141,495
346,495
348,495
409,495
411,495
419,495
429,495
565,495
589,495
617,495
675,495
523,497
426,498
512,498
514,498
516,498
663,499
55,500
65,500
78,500
89,500
94,500
123,500
127,500
186,500
212,500
214,500
217,500
229,500
232,500
321,500
344,500
437,500
452,500
508,500
542,500
689,500
693,500
701,500
703,500
31,505
34,505
38,505
68,505
213,505
430,505
534,505
668,507
530,508
537,509
62,510
181,510
208,510
308a,510
461,510
472,510
571,510
620,510
628,510
630,510
713,514
73,515
142,515
233,515
407,515
463,515
469,515
526,515
604,515
282,518
475,518
553,519
103,520
121,520
330,520
479a,520
479b,520
479c,520
479d,520
479e,520
601,520
609,520
681,520
681a,520
697,521
699,521
405,523
3,525
91,525
134,525
135,525
136,525
154,525
196,525
197,525
389,525
448,525
450,525
470,525
471,525
476,525
477,525
700,525
497,528
500,528
503,528
9,530
160,530
254,530
257,530
306,530
365,530
395,530
473,530
652,530
658,530
673,531
6,534
157,534
392,534
655,534
131,535
169,535
260,535
462,535
464,535
465,535
474,535
584,535
715,535
130,540
143,540
230,540
242,540
350,540
466,540
467,540
555a,540
612,540
468,545
531a,545
637,550
671,552
59,555
354a,555
319a,560
323a,560
359a,565
567,567
310a,575
18a,579
144,580
145,580
