Pokemon Number, Total Stats
191,180
298,190
10,195
13,195
265,195
280,198
129,200
349,200
11,205
14,205
172,205
266,205
268,205
174,210
194,210
236,210
161,215
173,218
261,220
270,220
273,220
292,236
296,237
263,240
293,240
41,245
175,245
167,250
183,250
187,250
218,250
220,250
235,250
16,251
19,253
300,260
360,260
21,262
163,262
50,265
165,265
290,266
283,269
39,270
276,270
278,270
32,273
29,275
281,278
179,280
287,280
307,280
46,285
23,288
132,288
339,288
52,290
204,290
328,290
363,290
116,295
285,295
309,295
353,295
355,295
37,299
27,300
60,300
69,300
74,300
147,300
209,300
223,300
246,300
343,300
361,300
371,300
374,300
316,302
48,305
56,305
66,305
90,305
238,305
318,305
322,305
341,308
4,309
155,309
63,310
84,310
92,310
252,310
255,310
258,310
333,310
7,314
158,314
79,315
1,318
152,318
25,320
43,320
54,320
104,320
118,320
177,320
35,323
81,325
86,325
88,325
98,325
102,325
133,325
96,328
100,330
170,330
216,330
225,330
228,330
231,330
304,330
325,330
370,330
72,335
331,335
201,336
109,340
120,340
188,340
271,340
274,340
329,340
111,345
366,345
17,349
58,350
83,352
138,355
140,355
345,355
347,355
190,360
239,360
294,360
327,360
30,365
33,365
180,365
240,365
299,375
222,380
301,380
302,380
303,380
61,385
95,385
108,385
269,385
70,390
75,390
166,390
168,390
193,390
12,395
15,395
44,395
137,395
267,395
64,400
313,400
314,400
315,400
320,400
2,405
5,405
8,405
47,405
51,405
67,405
93,405
153,405
156,405
159,405
176,405
198,405
202,405
253,405
256,405
259,405
311,405
312,405
77,410
185,410
219,410
247,410
308,410
364,410
20,413
284,414
162,415
206,415
148,420
184,420
262,420
264,420
351,420
372,420
375,420
105,425
192,425
358,425
195,430
207,430
211,430
215,430
277,430
279,430
305,430
40,435
114,435
200,435
24,438
53,440
117,440
288,440
337,440
338,440
352,440
22,442
164,442
28,450
49,450
113,450
119,450
210,450
221,450
42,455
57,455
106,455
107,455
124,455
203,455
237,455
354,455
356,455
291,456
335,458
336,458
85,460
122,460
171,460
189,460
286,460
319,460
323,460
357,460
82,465
205,465
226,465
227,465
234,465
359,465
317,467
340,468
342,468
178,470
324,470
326,470
297,474
87,475
99,475
310,475
332,475
18,479
101,480
224,480
272,480
275,480
302a,480
303a,480
362,480
36,483
97,483
26,485
112,485
367,485
368,485
369,485
45,490
71,490
80,490
110,490
115,490
125,490
128,490
182,490
199,490
241,490
295,490
334,490
15a,495
76,495
126,495
139,495
141,495
346,495
348,495
55,500
65,500
78,500
89,500
94,500
123,500
127,500
186,500
212,500
214,500
217,500
229,500
232,500
321,500
344,500
31,505
34,505
38,505
68,505
213,505
62,510
181,510
208,510
308a,510
73,515
142,515
233,515
282,518
103,520
121,520
330,520
3,525
91,525
134,525
135,525
136,525
154,525
196,525
197,525
9,530
160,530
254,530
257,530
306,530
365,530
6,534
157,534
131,535
169,535
260,535
130,540
143,540
230,540
242,540
350,540
59,555
354a,555
319a,560
323a,560
359a,565
310a,575
18a,579
144,580
145,580
146,580
243,580
244,580
245,580
362a,580
377,580
378,580
379,580
65a,590
80a,590
115a,590
334a,590
94a,600
127a,600
149,600
151,600
212a,600
214a,600
229a,600
248,600
251,600
373,600
376,600
380,600
381,600
385,600
386,600
386a,600
386b,600
386c,600
181a,610
208a,610
142a,615
282a,618
3a,625
9a,630
254a,630
257a,630
306a,630
6a,634
6b,634
260a,635
130a,640
289,670
382,670
383,670
150,680
249,680
250,680
384,680
248a,700
373a,700
376a,700
380a,700
381a,700
382,770
383a,770
150a,780
150b,780
384a,780
